Denver_Stapleton,USA
8760 Registros
[Temp	Umi	QDir	QDif	VV	DV	Mes	Dia	Hora]
-0.7	0.31	0	0	2.1	110	1	1	0
0	0.57	0	0	2.8	203	1	1	1
0	0.6	0	0	3.3	203	1	1	2
0	0.57	0	0	3.7	180	1	1	3
0	0.57	0	0	4.1	180	1	1	4
0	0.57	0	0	4.6	203	1	1	5
0	0.47	0	0	5	293	1	1	6
3.3	0.45	0	0	3.1	315	1	1	7
2.2	0.51	2	7	4.1	135	1	1	8
3.3	0.52	68	87	3.1	68	1	1	9
7.2	0.28	16	113	9.8	338	1	1	10
7.8	0.23	746	90	10.3	293	1	1	11
8.9	0.25	933	65	9.3	293	1	1	12
9.4	0.24	940	40	9.3	315	1	1	13
10.6	0.19	935	18	9.3	293	1	1	14
10	0.2	826	4	4.6	315	1	1	15
9.4	0.23	671	0	8.8	270	1	1	16
6.7	0.24	79	13	7.7	23	1	1	17
5.6	0.25	0	0	4.6	68	1	1	18
2.8	0.35	0	0	1.5	113	1	1	19
2.2	0.36	0	0	3.1	113	1	1	20
1.7	0.32	0	0	2.1	68	1	1	21
0.6	0.35	0	0	2.6	68	1	1	22
0	0.45	0	0	9.3	45	1	1	23
-4.4	0.79	0	0	7.7	23	1	1	0
-5.6	0.79	0	0	7.7	23	1	2	1
-7.2	0.67	0	0	8.2	23	1	2	2
-8.9	0.75	0	0	6.2	23	1	2	3
-9.4	0.78	0	0	6.2	45	1	2	4
-10.6	0.78	0	0	5.7	68	1	2	5
-11.7	0.74	0	0	5.1	45	1	2	6
-12.2	0.82	0	0	6.2	45	1	2	7
-12.2	0.73	0	3	6.7	45	1	2	8
-12.8	0.82	3	26	6.2	68	1	2	9
-12.8	0.67	4	47	4.6	90	1	2	10
-12.8	0.67	4	63	4.1	68	1	2	11
-13.9	0.7	4	72	8.2	45	1	2	12
-15	0.77	4	72	6.7	45	1	2	13
-15	0.77	4	63	6.2	45	1	2	14
-15	0.66	4	47	6.7	23	1	2	15
-16.1	0.69	3	26	5.1	68	1	2	16
-17.2	0.72	1	3	6.2	45	1	2	17
-17.8	0.77	0	0	6.2	45	1	2	18
-17.8	0.62	0	0	6.2	68	1	2	19
-18.3	0.69	0	0	4.6	68	1	2	20
-18.3	0.58	0	0	5.1	68	1	2	21
-18.9	0.69	0	0	5.1	68	1	2	22
-19.4	0.69	0	0	5.1	45	1	2	23
-18.9	0.73	0	0	5.1	90	1	2	0
-19.4	0.72	0	0	4.6	113	1	3	1
-18.9	0.69	0	0	4.6	113	1	3	2
-18.9	0.65	0	0	3.6	68	1	3	3
-19.4	0.69	0	0	3.1	68	1	3	4
-20	0.68	0	0	4.1	45	1	3	5
-20.6	0.61	0	0	5.1	68	1	3	6
-20.6	0.72	0	0	5.7	90	1	3	7
-20.6	0.61	2	7	3.1	360	1	3	8
-20.6	0.61	33	77	6.7	360	1	3	9
-21.1	0.57	9	102	5.1	315	1	3	10
-22.2	0.68	9	136	4.6	315	1	3	11
-20	0.52	916	64	4.1	338	1	3	12
-18.9	0.52	889	39	4.1	315	1	3	13
-18.9	0.42	453	101	4.1	23	1	3	14
-19.4	0.54	449	68	3.1	315	1	3	15
-20.6	0.65	613	4	3.1	23	1	3	16
-20.6	0.58	54	14	2.6	23	1	3	17
-21.1	0.61	0	0	2.1	68	1	3	18
-21.7	0.65	0	0	2.6	23	1	3	19
-21.7	0.65	0	0	2.6	135	1	3	20
-20.6	0.55	0	0	4.1	158	1	3	21
-20.6	0.58	0	0	3.6	203	1	3	22
-20.6	0.65	0	0	4.1	180	1	3	23
-22.2	0.54	0	0	2.6	45	1	3	0
-23.3	0.45	0	0	3.1	68	1	4	1
-24.4	0.42	0	0	2.6	203	1	4	2
-23.3	0.32	0	0	2.1	180	1	4	3
-23.3	0.57	0	0	4.1	180	1	4	4
-23.3	0.42	0	0	4.6	203	1	4	5
-23.3	0.38	0	0	3.6	180	1	4	6
-23.3	0.42	0	0	4.1	180	1	4	7
-23.9	0.6	61	22	1.5	180	1	4	8
-22.8	0.61	374	101	2.1	45	1	4	9
-20	0.44	547	116	2.6	113	1	4	10
-16.7	0.53	932	92	2.6	203	1	4	11
-16.1	0.53	964	67	4.6	360	1	4	12
